almacenamiento,cpu,departamento,descripcion,dns,estado,hostname,hypervisor,id,ipadmin,ipprod,namekey,ram,servicio,sistema,tipo,ubicacion
100,2,I+D,cluster kafka broker 03,kafkabroker03.encontrack.com,True,srvkafkabrokerplvfl03,vmware,55,10.190.5.203,10.190.6.203,kafka-broker03,8,apache kafka,Centos Linux 6.9,virtual,miami
100,2,I+D,cluster kafka broker 04,kafkabroker04.encontrack.com,True,srvkafkabrokerplvfl04,vmware,56,10.190.5.204,10.190.6.204,kafka-broker04,8,apache kafka,Centos Linux 6.9,virtual,miami
110,2,I+D,cluster kafka broker 01,kafkabroker01.encontrack.com,True,srvkafkabrokerplvfl01,vmware,57,10.190.5.172,10.190.6.172,kafka-broker01,8,apache kafka,Centos Linux 6.9,virtual,miami
110,2,I+D,cluster kafka broker 02,kafkabroker02.encontrack.com,True,srvkafkabrokerplvfl02,vmware,58,10.190.5.173,10.190.6.173,kafka-broker02,8,apache kafka,Centos Linux 6.9,virtual,miami
35,2,I+D,cluster zookeeper miami 03,zookeeper03.encontrack.com,True,srvzookeeperplvfl03,vmware,59,10.190.5.205,10.190.6.205,zookeeper-03,4,zookeeper,Centos Linux 6.9,virtual,miami
45,2,I+D,cluster zookeeper miami 01,zookeeper01.encontrack.com,True,srvzookeeperplvfl01,vmware,60,10.190.5.174,10.190.6.174,zookeeper-01,4,zookeeper,Centos Linux 6.9,virtual,miami
20,2,I+D,cluster zookeeper miami 02,zookeeper02.encontrack.com,True,srvzookeeperplvfl02,vmware,61,10.190.5.210,10.190.6.210,zookeeper-02,4,zookeeper,Centos Linux 6.9,virtual,miami
20,6,I+D,servidor kafka con herramientas de los cluster,kafkatools01.encontrack.com,True,srvkafkatoolsplvfl01,vmware,62,10.190.5.148,10.190.6.148,kafka-tools01,6,docker,Centos Linux 7.4,virtual,miami
20,4,I+D,KAFKA STREAMs para CAS,kafka-cas01.encontrack.com,True,srvkafkastreamscasplvfl01,vmware,63,10.190.5.122,10.190.6.122,kafka-streams-cas01,5,supervisor,Centos Linux 7.8,virtual,miami
20,4,I+D,KAFKA STREAMs para CAS 02,kafka-cas02.encontrack.com,True,srvkafkastreamscasplvfl02,vmware,64,10.190.5.123,10.190.6.123,kafka-streams-cas02,5,supervisor,Centos Linux 7.8,virtual,miami
20,4,I+D,api charolas con servicios de docker,api-charolas01.encontrack.com,True,srvapicharolasplvfl01,vmware,65,10.190.5.134,10.190.6.134,api-charolas01,6,docker,Centos Linux 7.8,virtual,miami
20,4,I+D,api charolas con servicios de docker 02,api-charolas02.encontrack.com,True,srvapicharolasplvfl02,vmware,66,10.190.5.135,10.190.6.135,api-charolas02,6,docker,Centos Linux 7.8,virtual,miami
20,4,SIO,Web service tomcat 01 ,ws1.encontrack.com,True,wsinternosplvfl01,vmware,67,10.190.5.35,10.190.6.35,ws-01,5,tomcat,Centos Linux 7.8,virtual,miami
20,2,I+D,Web service tomcat 03,ws3.encontrack.com,True,wsinternosplvfl02,vmware,68,10.190.5.53,10.190.6.53,ws-03,2,tomcat,Centos Linux 7.8,virtual,miami
